Geneid,Gene Type,Product Description
AGAP000591,protein coding gene,decaprenyl-diphosphate synthase subunit 1
AGAP000592,protein coding gene,unspecified product
AGAP000594,protein coding gene,unspecified product
AGAP000595,protein coding gene,lysophosphatidylcholine acyltransferase 2B
AGAP000596,protein coding gene,lysophosphatidylcholine acyltransferase / lyso-PAF acetyltransferase
AGAP000597,protein coding gene,DNA cross-link repair 1C protein
AGAP000598,protein coding gene,scaffold protein Nfu/NifU
AGAP000599,protein coding gene,XK-related protein
AGAP000601,protein coding gene,LRRNT domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QFP4]
AGAP000602,protein coding gene,vacuolar protein sorting 15
AGAP000603,protein coding gene,unspecified product
AGAP000604,protein coding gene,unspecified product
AGAP000605,protein coding gene,unspecified product
AGAP000606,protein coding gene,putative GPCR class a orphan receptor 19
AGAP000607,protein coding gene,salivary gland protein 1-like 3
AGAP000609,protein coding gene,salivary gland protein 1-like 5
AGAP000610,protein coding gene,salivary gland protein 1-like 6
AGAP000611,protein coding gene,salivary gland protein 1-like 4
AGAP000612,protein coding gene,salivary gland protein 1
AGAP000614,protein coding gene,unspecified product
AGAP000615,protein coding gene,unspecified product
AGAP000616,protein coding gene,26S proteasome regulatory subunit T5
AGAP000617,protein coding gene,dual specificity phosphatase
AGAP000618,protein coding gene,succinate dehydrogenase (ubiquinone) membrane anchor subunit
AGAP000619,protein coding gene,inhibitor of growth protein 3
AGAP000620,protein coding gene,unspecified product
AGAP000621,protein coding gene,carboxypeptidase A1
AGAP000622,protein coding gene,unspecified product
AGAP000623,protein coding gene,DNA ligase 4
AGAP000624,protein coding gene,unspecified product
AGAP000625,protein coding gene,vacuolar protein sorting 4
AGAP000626,protein coding gene,Vesicle-associated membrane protein-associated protein B
AGAP000627,protein coding gene,"casein kinase 1, alpha"
AGAP000628,protein coding gene,unspecified product
AGAP000629,protein coding gene,NRF domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9H5]
AGAP000630,protein coding gene,unspecified product
AGAP000631,protein coding gene,integrator complex subunit 6
AGAP000633,protein coding gene,unspecified product
AGAP000634,protein coding gene,Regulator of telomere elongation helicase 1 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7QEI1]
AGAP000635,protein coding gene,SEC7 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9F5]
AGAP000636,protein coding gene,unspecified product
AGAP000637,protein coding gene,"solute carrier family 6 (neurotransmitter transporter, amino acid/orphan)"
AGAP000638,protein coding gene,unspecified product
AGAP000639,protein coding gene,tRNA dimethylallyltransferase
AGAP000640,protein coding gene,odorant-binding protein 33
AGAP000641,protein coding gene,odorant-binding protein 34
AGAP000642,protein coding gene,odorant-binding protein 35
AGAP000643,protein coding gene,odorant-binding protein 36
AGAP000644,protein coding gene,odorant-binding protein 37
AGAP000646,protein coding gene,Myc proto-oncogene protein
AGAP000647,protein coding gene,unspecified product
AGAP000648,protein coding gene,unspecified product
AGAP000649,protein coding gene,epimerase
AGAP000650,protein coding gene,ribonucleases P/MRP protein subunit RPP40
AGAP000651,protein coding gene,Actin-5C [Source:UniProtKB/Swiss-Prot;Acc:P84185]
AGAP000652,protein coding gene,"39S ribosomal protein L38, mitochondrial"
AGAP000653,protein coding gene,xenotropic and polytropic retrovirus receptor 1
AGAP000654,protein coding gene,40S ribosomal protein S30 [Source:UniProtKB/TrEMBL;Acc:Q7QEH2]
AGAP000655,protein coding gene,40S ribosomal protein S14a [Source:UniProtKB/Swiss-Prot;Acc:Q7QEH1]
AGAP000656,protein coding gene,Polypeptide N-acetylgalactosaminyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7QEH0]
AGAP000657,protein coding gene,amiloride-sensitive sodium channel
AGAP000658,protein coding gene,putative growth hormone releasing hormone receptor 3
AGAP000659,protein coding gene,unspecified product
AGAP000660,protein coding gene,TMF_TATA_bd domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9P7]
AGAP000662,protein coding gene,forkhead box protein K
AGAP000663,protein coding gene,unspecified product
AGAP000666,protein coding gene,ubiquitin carboxyl-terminal hydrolase 16/45
AGAP000667,protein coding gene,D1-like dopamine receptor 2 [Source:UniProtKB/TrEMBL;Acc:A0A1W5KQ45]
AGAP000668,protein coding gene,bromodomain adjacent to zinc finger domain protein 1A
AGAP000669,protein coding gene,unspecified product
AGAP000670,protein coding gene,periplasmic divalent cation tolerance protein
AGAP000671,protein coding gene,Ras-related protein Rab-10
AGAP000672,protein coding gene,Obg-like ATPase 1 [Source:UniProtKB/TrEMBL;Acc:Q7QEG0]
AGAP000673,protein coding gene,unspecified product
AGAP000674,protein coding gene,"transcription factor Sp, invertebrate"
AGAP000675,protein coding gene,uncharacterized protein FAM107B
AGAP000676,protein coding gene,unspecified product
AGAP000678,protein coding gene,WD repeat-containing protein 68
AGAP000679,protein coding gene,Aminoacylase [Source:UniProtKB/TrEMBL;Acc:Q7QEF5]
AGAP000680,protein coding gene,unspecified product
AGAP000681,protein coding gene,tRNA:m4X modification enzyme
AGAP000682,protein coding gene,MAX-like protein X
AGAP000684,protein coding gene,unspecified product
AGAP000685,protein coding gene,unspecified product
AGAP000686,protein coding gene,unspecified product
AGAP000687,protein coding gene,unspecified product
AGAP000688,protein coding gene,unspecified product
AGAP000689,protein coding gene,unspecified product
AGAP000690,protein coding gene,unspecified product
AGAP000691,protein coding gene,unspecified product
AGAP000692,protein coding gene,cecropin anti-microbial peptide
AGAP000693,protein coding gene,cecropin anti-microbial peptide
AGAP000694,protein coding gene,Cecropin-B [Source:UniProtKB/Swiss-Prot;Acc:Q8MUF4]
AGAP000695,protein coding gene,unspecified product
AGAP000696,protein coding gene,unspecified product
AGAP000697,protein coding gene,unspecified product
AGAP000698,protein coding gene,unspecified product
AGAP000699,protein coding gene,unspecified product
AGAP000700,protein coding gene,Vesicle-associated membrane protein 7
AGAP000702,protein coding gene,unspecified product
AGAP000703,protein coding gene,unspecified product
AGAP000704,protein coding gene,cell cycle control protein 50A
AGAP000705,protein coding gene,protein DJ-1
AGAP000706,protein coding gene,unspecified product
AGAP000707,protein coding gene,PWWP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GAE2]
AGAP000708,protein coding gene,phosphorylase kinase alpha/beta subunit
AGAP000711,protein coding gene,unspecified product
AGAP000713,protein coding gene,unspecified product
AGAP000714,protein coding gene,ionotropic receptor IR7n
AGAP000715,protein coding gene,carbonic anhydrase-related protein 10
AGAP000717,protein coding gene,unspecified product
AGAP000718,protein coding gene,unspecified product
AGAP000719,protein coding gene,Adenosylhomocysteinase [Source:UniProtKB/Swiss-Prot;Acc:O76757]
AGAP000720,protein coding gene,neuronal cell adhesion molecule
AGAP000721,protein coding gene,V-type H+-transporting ATPase subunit AC39
AGAP000723,protein coding gene,cytoplasmic dynein 1 light intermediate chain 2
AGAP000724,protein coding gene,unspecified product
AGAP000725,protein coding gene,aryl hydrocarbon receptor interacting protein
AGAP000726,protein coding gene,unspecified product
AGAP000727,protein coding gene,adenylate cyclase 1
AGAP000728,protein coding gene,wengen
AGAP000729,ncRNA gene,unspecified product
AGAP000730,ncRNA gene,unspecified product
AGAP000731,protein coding gene,unspecified product
AGAP000732,protein coding gene,Synaptic vesicle protein
AGAP000733,protein coding gene,UV excision repair protein RAD23
AGAP000734,protein coding gene,unspecified product
AGAP000735,protein coding gene,histidyl-tRNA synthetase
AGAP000736,protein coding gene,unspecified product
AGAP000737,protein coding gene,protein SPT2
AGAP000738,protein coding gene,Suppressor of defective silencing 3 homolog
AGAP000739,protein coding gene,40S ribosomal protein S10
AGAP000740,protein coding gene,GDP-D-glucose phosphorylase C15orf58 homolog
AGAP000741,protein coding gene,unspecified product
AGAP000743,protein coding gene,unspecified product
AGAP000744,protein coding gene,unspecified product
AGAP000745,protein coding gene,unspecified product
AGAP000747,protein coding gene,mitogen-activated protein kinase kinase kinase 5
AGAP000748,protein coding gene,Muscular protein 20
AGAP000749,protein coding gene,Muscular protein 20
AGAP000750,protein coding gene,unspecified product
AGAP000751,protein coding gene,mitotic spindle assembly checkpoint protein MAD2
AGAP000752,protein coding gene,acyl-CoA-binding domain-containing protein 6
AGAP000754,protein coding gene,unspecified product
AGAP000755,protein coding gene,unspecified product
AGAP000756,protein coding gene,carboxypeptidase M
AGAP000757,protein coding gene,peptide-O-fucosyltransferase
AGAP000758,protein coding gene,unspecified product
AGAP000759,protein coding gene,"39S ribosomal protein L32, mitochondrial"
AGAP000760,protein coding gene,alkylated DNA repair protein alkB homolog 7
AGAP000761,protein coding gene,glutathione S-transferase theta class 1
AGAP000762,protein coding gene,unspecified product
AGAP000763,protein coding gene,"activin receptor type-2, invertebrate"
AGAP000765,protein coding gene,unspecified product
AGAP000767,protein coding gene,membrane-associated progesterone receptor component 2
AGAP000768,protein coding gene,Septin 4 [Source:UniProtKB/TrEMBL;Acc:A0A1S4G9T6]
AGAP000769,protein coding gene,unspecified product
AGAP000770,protein coding gene,vacuole morphology and inheritance protein 14
AGAP000771,protein coding gene,Vacuolar-sorting protein SNF8 [Source:UniProtKB/TrEMBL;Acc:Q7QE89]
AGAP000772,protein coding gene,unspecified product
AGAP000773,protein coding gene,single-minded
AGAP000774,protein coding gene,PH and SEC7 domain-containing protein
AGAP000776,protein coding gene,myosin VI
AGAP000777,protein coding gene,unspecified product
AGAP000778,protein coding gene,unspecified product
AGAP000779,protein coding gene,zinc finger homeobox protein 1/2
AGAP000780,protein coding gene,Yippee-like 5
AGAP000781,protein coding gene,mitochondrial import inner membrane translocase subunit Tim9
AGAP000782,protein coding gene,unspecified product
AGAP000783,protein coding gene,unspecified product
AGAP000784,protein coding gene,abhydrolase domain containing 4
AGAP000785,protein coding gene,Synaptic vesicle protein
AGAP000786,protein coding gene,ZP domain-containing protein [Source:UniProtKB/TrEMBL;Acc:Q7QE77]
AGAP000787,protein coding gene,unspecified product
AGAP000788,protein coding gene,unspecified product
AGAP000789,protein coding gene,unspecified product
AGAP000790,protein coding gene,unspecified product
AGAP000791,protein coding gene,Tango10
AGAP000792,protein coding gene,Adenosylhomocysteinase [Source:UniProtKB/TrEMBL;Acc:Q7QE71]
AGAP000793,protein coding gene,unspecified product
AGAP000794,protein coding gene,NADH dehydrogenase (ubiquinone) Fe-S protein 2
AGAP000795,protein coding gene,unspecified product
AGAP000797,protein coding gene,unspecified product
AGAP000798,protein coding gene,unspecified product
AGAP000801,protein coding gene,unspecified product
AGAP000803,protein coding gene,ionotropic receptor GLURIIa
AGAP000804,protein coding gene,unspecified product
AGAP000805,protein coding gene,BTB/POZ domain-containing protein KCTD16
AGAP000806,protein coding gene,Angiopoietin-like 1
AGAP000807,protein coding gene,helix-loop-helix transcription factor
AGAP000808,protein coding gene,DNA damage-regulated autophagy modulator protein 2
AGAP000809,protein coding gene,Proteasome 26S non-ATPase subunit 10
AGAP000810,protein coding gene,unspecified product
AGAP000812,protein coding gene,calcium binding protein
AGAP000813,protein coding gene,"Frataxin homolog, mitochondrial"
AGAP000814,protein coding gene,unspecified product
AGAP000815,protein coding gene,integrin beta subunit
AGAP000816,protein coding gene,unspecified product
AGAP000817,protein coding gene,unspecified product
AGAP000818,protein coding gene,cytochrome P450
AGAP000819,protein coding gene,nuclear receptor subfamily 2 group E member (Tailless)
AGAP000820,protein coding gene,cuticular protein RR-2 family 125
AGAP000821,protein coding gene,unspecified product
AGAP000822,protein coding gene,unspecified product
AGAP000823,protein coding gene,CD81 antigen
AGAP000824,protein coding gene,bone morphogenetic protein 5
AGAP000825,protein coding gene,unspecified product
AGAP000826,protein coding gene,cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1
AGAP000829,protein coding gene,unspecified product
AGAP000830,protein coding gene,short caspase 7
AGAP000831,protein coding gene,DnaJ homolog subfamily C member 25
AGAP000832,protein coding gene,Derlin-2/3
AGAP000833,protein coding gene,myoinhibitory-like peptide
AGAP000834,protein coding gene,unspecified product
AGAP000835,protein coding gene,unspecified product
AGAP000840,protein coding gene,"amiloride-sensitive sodium channel, other"
AGAP000841,protein coding gene,Ras-related protein Rab-40
AGAP000842,protein coding gene,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 1"
AGAP000843,protein coding gene,cardiolipin synthase
AGAP000844,protein coding gene,Progestin and adipoQ receptor family member 4
AGAP000847,protein coding gene,CDC-like kinase
AGAP000848,protein coding gene,unspecified product
AGAP000849,protein coding gene,NADH dehydrogenase (ubiquinone) 1 beta subcomplex 1
AGAP000850,protein coding gene,syntaxin 16
AGAP000851,protein coding gene,"cytochrome c oxidase subunit 6a, mitochrondrial"
